# Tigges IOI replication prompt set
# Generated: 2026-05-05T20:58:19+00:00
# Seed: 0
# N: 200
# Tokenizer: EleutherAI/pythia-410m-deduped
# Single-token name pool (24): Mary, John, James, Robert, Michael, William, David, Joseph, Thomas, Charles, Christopher, Daniel, Matthew, Anthony, Mark, Donald, Steven, Andrew, Kenneth, George, Joshua, Kevin, Brian, Edward
# Template: 'When {n1} and {n2} went to the {place}, {n3} gave a {obj} to'
# ABBA: n1=A, n2=B, n3=B (positions A B B; answer=A; IO=A, S=B)
# BABA: n1=B, n2=A, n3=B (positions B A B; answer=A; IO=A, S=B)
text	io_name	s_name	place	obj	template_kind	io_token_id	s_token_id
When Kevin and John went to the school, Kevin gave a present to	John	Kevin	school	present	BABA	2516	15273
When Steven and Christopher went to the office, Steven gave a kiss to	Christopher	Steven	office	kiss	BABA	19717	19436
When George and Mark went to the school, Mark gave a drink to	George	Mark	school	drink	ABBA	6086	4744
When Kevin and Donald went to the church, Kevin gave a bone to	Donald	Kevin	church	bone	BABA	10053	15273
When Daniel and Joshua went to the church, Daniel gave a bone to	Joshua	Daniel	church	bone	BABA	29092	10213
When Michael and Andrew went to the store, Andrew gave a book to	Michael	Andrew	store	book	ABBA	6277	11116
When Edward and James went to the house, James gave a drink to	Edward	James	house	drink	ABBA	12824	5490
When Thomas and Andrew went to the school, Thomas gave a note to	Andrew	Thomas	school	note	BABA	11116	7195
When Donald and Daniel went to the office, Daniel gave a ring to	Donald	Daniel	office	ring	ABBA	10053	10213
When Kenneth and Joshua went to the school, Joshua gave a bone to	Kenneth	Joshua	school	bone	ABBA	31270	29092
When Matthew and Edward went to the church, Edward gave a kiss to	Matthew	Edward	church	kiss	ABBA	18322	12824
When Mary and George went to the hospital, George gave a ring to	Mary	George	hospital	ring	ABBA	6393	6086
When Joseph and William went to the hospital, Joseph gave a book to	William	Joseph	hospital	book	BABA	7252	10092
When Matthew and Brian went to the church, Brian gave a drink to	Matthew	Brian	church	drink	ABBA	18322	14468
When Brian and Matthew went to the church, Brian gave a drink to	Matthew	Brian	church	drink	BABA	18322	14468
When Mark and William went to the restaurant, Mark gave a bone to	William	Mark	restaurant	bone	BABA	7252	4744
